ItemNameBasicPole,,기본 낚싯대,Basic Fishing Pole
ItemNameGoodPole,,괜찮은 낚싯대,Good Fishing Pole
ItemNameBasicBobber,,기본 낚시찌,Basic Bobber
ItemNameGoodBobber,,괜찮은 낚시찌,Good Bobber
ItemDescLowBait,,기본적인 미끼에요. 가장 흔한 물고기들을 유인해요.,It's a basic bait. It attracts the most common fish.
ItemDescMiddleBait,,향이 더 강한 미끼에요. 1단계보다 더 희귀한 물고기가 나타날 확률이 생겨요.,It is a bait with a stronger scent. There is a chance that rarer fish will appear compared to Stage 1.
ItemDescBasicPole,,갓 낚시를 시작한 초보자를 위한 낚싯대에요.,This is a fishing rod for beginners who have just started fishing.
ItemDescGoodPole,,전문 낚시꾼을 위해 탄성을 높인 낚싯대에요. 물고기를 낚는 속도가 상승해요.,This is a fishing rod with increased elasticity for professional anglers. The speed at which you catch fish increases.
ItemDescBasicBobber,,입질을 확인하기 위한 표준 찌에요. 적당한 크기의 물고기를 포착해요.,It is a standard float for checking for bites. It catches fish of a suitable size.
ItemDescGoodPole,,부력이 뛰어나고 민감한 찌에요. 거대한 물고기의 신호를 잡아내요.,It is a highly buoyant and sensitive float. It catches signals from huge fish.
InteriorNameBasicHouse,,기본 집,Basic House
InteriorNameMediumHouse,,중간 크기 집,Medium House
InteriorNameLargeHouse,,큰 사이즈 집,Large House
InteriorDescBasicHouse,,동화 속에서 나온 듯한 아담하고 귀여운 오두막이에요. 따뜻한 등불 아래 소박한 쉼터가 되어줘요.,It is a cozy and cute cabin that looks like it came straight out of a fairy tale. It serves as a simple resting place under a warm lamp.
InteriorDescMediumHouse,,튼튼하게 지어진 듬직하고 아늑한 집이에요. 하루의 피로를 사르르 녹여주는 든든한 안식처가 되어줘요.,"It is a sturdy, reliable, and cozy house. It serves as a reliable sanctuary that melts away the day's fatigue."
InteriorDescLargeHouse,,웅장하고 쾌적한 큰 집이에요. 탁 트인 창 너머로 불어오는 바람을 느끼며 마음껏 힐링할 수 있어요.,It is a grand and comfortable large house. You can fully heal while feeling the breeze blowing through the wide-open windows.
InteriorNameBasicCampfire,,기본 모닥불,Basic Campfire
InteriorNameBasicBox,,기본 보관함,Basic Storage Box
InteriorNameIceBox,,아이스박스,Ice Box
InteriorNameSmileFlower,,웃는화분,Basic Fence
InteriorNameSlipFlowerPot,,자고 있는 화분,Basic Mailbox
InteriorNameMediumFlowerPot,,중간 크기 화분,Smiling Plant Pot
InteriorNameLargeFlowerPot,,큰 사이즈 화분,Sleeping Plant Pot
InteriorNameBasicFence,,기본 울타리,Medium Plant Pot
InteriorNameBasicLpPlayer,,기본 LP 플레이어,Large Plant Pot
InteriorNameAmplifier,,앰프,Basic LP Player
InteriorNameSpeaker,,스피커,Amplifier
InteriorNamePostBox,,기본 우체통,Speaker
InteriorNameRabbitDoll,,토끼 인형,Rabbit Plushie
InteriorNamePandaDoll,,판다 인형,Panda Plushie
InteriorNameLargeRabbitDoll,,큰 사이즈 토끼인형,Large Rabbit Plushie
InteriorDescBasicCampfire,,캠핑의 낭만을 더해주는 기초적인 모닥불이에요. 주변을 밝게 비춰줘요.,It is a basic campfire that adds to the romance of camping. It brightly illuminates the surroundings.
InteriorDescBasicBox,,투박하지만 튼튼한 나무 상자에요. 자주 쓰는 물건들을 넣어두기 좋아요.,It is a rustic but sturdy wooden box. It is great for storing items you use frequently.
InteriorDescIceBox,,내부 온도를 시원하게 유지해주는 상자에요. 음식을 더 신선하게 보관할 수 있어요.,It is a box that keeps the internal temperature cool. It allows you to keep food fresher.
InteriorDescSmileFlower,,영역을 구분해주는 평범한 울타리에요. 마당이나 정원을 꾸미기에 적합해요.,It is a simple fence that separates areas. It is suitable for decorating a yard or garden.
InteriorDescSlipFlowerPot,,누군가의 소중한 편지를 기다리게 만드는 빨간색 우체통이에요.,It is a red mailbox that makes you wait for someone's precious letter.
InteriorDescMediumFlowerPot,,보기만 해도 기분이 좋아지는 미소를 띤 작은 화분이에요. 공간에 생기를 더해줘요.,It is a small potted plant with a smile that makes you feel good just by looking at it. It adds vitality to the space.
InteriorDescLargeFlowerPot,,평온하게 눈을 감고 있는 모습의 화분이에요. 차분한 분위기를 연출하기에 좋아요.,It is a flowerpot shaped like a figure with its eyes peacefully closed. It is great for creating a calm atmosphere.
InteriorDescBasicFence,,어떤 식물이든 무난하게 어울리는 적당한 크기의 표준형 화분이에요.,It is a standard-sized pot that fits well with any plant.
InteriorDescBasicLpPlayer,,웅장한 크기를 자랑하는 화분이에요. 실내의 포인트 가구로 활용하기 좋아요.,It is a flower pot boasting a magnificent size. It is perfect for use as an accent piece indoors.
InteriorDescAmplifier,,클래식한 감성이 느껴지는 턴테이블이에요. 부드러운 아날로그 음악을 감상해보세요.,This is a turntable with a classic vibe. Enjoy smooth analog music.
InteriorDescSpeaker,,소리를 더 크고 풍부하게 증폭시켜주는 장치에요. 음악 애호가라면 필수 아이템이에요.,It is a device that amplifies sound to make it louder and richer. It is a must-have item for music lovers.
InteriorDescPostBox,,선명한 음질을 전달하는 스피커에요. 공간 전체를 소리로 가득 채울 수 있어요.,It is a speaker that delivers clear sound quality. It can fill the entire space with sound.
InteriorDescRabbitDoll,,보들보들한 털이 매력적인 귀여운 토끼 인형이에요. 침대 옆에 두면 안성맞춤이에요.,It is a cute rabbit doll with charmingly soft fur. It is perfect to place next to the bed.
InteriorDescPandaDoll,,멍한 표정이 매력적인 판다 인형이에요. 어디에 두어도 시선을 사로잡아요.,This is a panda doll with a charming blank expression. It catches the eye wherever you place it.
InteriorDescLargeRabbitDoll,,한 품에 가득 안기는 거대 토끼 인형이에요. 보기만 해도 푹신한 안정감을 줘요.,"It is a giant rabbit doll that fits perfectly in your arms. Just looking at it gives you a soft, comforting sense of security."
UpgradeStatDes,ui,캐릭터 상태,Status
HungerStatDes,,포만감,Hunger
StaminaStatDes,,스태미너,Stamina
MoveSpeedStatDes,,이동 속도,MoveSpeed
FishingSpeedStatDes,,낚시 속도,FishingSpeed
RestSpeedStatDes,,휴식 속도,RestSpeed
InteriorNameSpringPineTree,,봄) 소나무,SpringPineTree
InteriorNameSpringTree,,봄) 나무,SpringTree
InteriorNameAutumnPineTree,,가을) 소나무,AutumnPine Tree
InteriorNameAutumnTree,,가을) 나무,AutumnTree
InteriorNameWinterPineTree,,겨울) 소나무,WinterPineTree
InteriorNameWinterTree,,겨울) 나무,WinterTree
InteriorNameRedFlower,,빨간색 꽃,RedFlower
InteriorNamePinkFlower,,핑크색 꽃,PinkFlower
InteriorNamePurpleFlower,,보라색 꽃,PurpleFlower
InteriorNameGrayFlower,,회색 꽃,GrayFlower
InteriorNameWhiteFlower,,흰색 꽃,WhiteFlower
InteriorNameYellowFlower,,노란색 꽃,YellowFlower
InteriorNameBlueFlower,,파란색 꽃,BlueFlower
InteriorNameBasicBed,,기본 침대,BasicBed
InteriorNameSingleBed,,싱글 베드,SingleBed
InteriorNameQueenBed,,퀸 베드,QueenBed
InteriorNameKingBed,,킹 베드,KingBed
InteriorDescSpringPineTree,,푸릇푸릇한 봄의 기운이 느껴지는 소나무에요.,It is a pine tree that exudes the fresh energy of spring.
InteriorDescSpringTree,,파릇한 새싹이 돋아난 봄 시즌의 나무에요.,It is a tree of the spring season with fresh green sprouts emerging.
InteriorDescAutumnPineTree,,가을 풍경에 잘 어울리는 소나무에요.,It is a pine tree that goes well with the autumn scenery.
InteriorDescAutumnTree,,단풍이 든 가을 나무에요.,It is an autumn tree with colorful foliage.
InteriorDescWinterPineTree,,추운 겨울에도 푸르름을 간직한 눈 덮인 소나무에요.,It is a snow-covered pine tree that retains its greenery even in the cold winter.
InteriorDescWinterTree,,하얀 눈이 소복이 쌓인 겨울 나무에요.,It is a winter tree covered in thick white snow.
InteriorDescRedFlower,,선명한 빨간색이 돋보이는 장식용 꽃이에요.,It is an ornamental flower with a striking vivid red color.
InteriorDescPinkFlower,,은은한 분홍빛을 띤 아기자기한 꽃이에요.,It is a charming flower with a soft pink hue.
InteriorDescPurpleFlower,,고운 보라색 꽃잎을 가진 장식용 꽃이에요.,It is an ornamental flower with beautiful purple petals.
InteriorDescGrayFlower,,차분하고 독특한 회색빛의 꽃이에요.,It is a calm and unique gray flower.
InteriorDescWhiteFlower,,깔끔하고 순수한 느낌의 하얀 꽃이에요.,It is a white flower with a neat and pure feel.
InteriorDescYellowFlower,,밝고 화사한 노란색 장식용 꽃이에요.,It is a bright and cheerful yellow decorative flower.
InteriorDescBlueFlower,,시원한 파란색이 매력적인 꽃이에요.,It is a flower with an attractive cool blue color.
InteriorDescBasicBed,,가장 기초적인 디자인의 안락한 침대에요.,It is a comfortable bed with the most basic design.
InteriorDescSingleBed,,1인이 사용하기 적당한 아담한 사이즈의 침대에요.,It is a compact bed suitable for one person.
InteriorDescQueenBed,,넉넉한 공간으로 더 편안한 수면을 돕는 퀸 사이즈 침대에요.,It is a queen-size bed that helps you sleep more comfortably with its ample space.
InteriorDescKingBed,,최고 수준의 안락함과 넓은 공간을 제공하는 대형 침대에요.,It is a large bed that offers the highest level of comfort and spaciousness.
CostumeNameHat,,클래식 중절모,Classic Fedora
CostumeNameRedHat,,빨간 리본 밀짚모자,Red Ribbon Straw Hat
CostumeNameBlueHat,,파란 리본 밀짚모자,Blue Ribbon Straw Hat
CostumeNameCrown,,루비 미니 왕관,Ruby Mini Crown
CostumeNamePudding,,탱글 커스터드 푸딩,Jiggly Custard Pudding
CostumeDescHat,,부드러운 챙이 돋보이는 갈색 모자에요. 차분하고 단정한 분위기를 연출해요.,It is a brown hat featuring a soft brim. It creates a calm and neat atmosphere.
CostumeDescRedHat,,촘촘하게 짜인 모자에 빨간 리본을 묶었어요. 화사한 봄날의 피크닉이 떠올라요.,I tied a red ribbon on a tightly woven hat. It reminds me of a bright spring picnic.
CostumeDescBlueHat,,시원한 파란 리본이 돋보이는 밀짚모자에요. 맑은 여름 하늘 아래서 쓰기 좋아요.,It is a straw hat featuring a striking cool blue ribbon. It is perfect for wearing under a clear summer sky.
CostumeDescCrown,,붉은 보석이 박힌 금색 왕관이에요. 머리 위에 올리면 동화 속 주인공이 된 것 같아요.,"It is a gold crown set with red gems. When you put it on your head, you feel like the main character of a fairy tale."
CostumeDescPudding,,머리 위에 얹는 달콤한 푸딩이에요. 걸을 때마다 귀엽게 찰랑거려요.,It's a sweet pudding to put on your head. It jiggles cutely every time you walk.
CostumeNameBlackBowTie,,검은색 나비 넥타이,BlackBowTie
CostumeNameRedBowTie,,빨간색 나비 넥타이,RedBowTie
CostumeNameYellowBowTie,,노란색 나비 넥타이,YellowBowTie
CostumeNameWhiteBowTie,,하얀색 나비 넥타이,WhiteBowTie
CostumeNameRainbowBowTie,,무지개색 나비 넥타이,RainbowBowTie
CostumeNameDalmatianBowTie,,땡땡이 나비 넥타이,DalmatianBowTie
CostumeDescBlackBowTie,,누구에게나 어울리는 검은색 나비 넥타이에요.,It is a black bow tie that suits everyone.
CostumeDescRedBowTie,,정열적인 당신에게 어울리는 빨간색 나비 넥타이에요.,It is a red bow tie that suits your passionate personality.
CostumeDescYellowBowTie,,아기자기한 당신에게 어울리는 노란색 나비 넥타이에요.,It is a yellow bow tie that suits your charming personality.
CostumeDescWhiteBowTie,,세련된 당신에게 어울리는 하얀색 나비 넥타이에요.,It is a white bow tie that suits your sophisticated style.
CostumeDescRainbowBowTie,,특별한 당신에게 어울리는 무지개색 나비 넥타이에요.,"It is a rainbow-colored bow tie that suits you, the special you."
CostumeDescDalmatianBowTie,,톡톡 튀는 매력이 있는 당신에게 어울리는 땡땡이 나비 넥타이에요.,"This is a polka dot bow tie that suits you, with your unique charm."
StartMessage,ui,게임 시작,game start
InteriorNameFishingChair,,낚시의자,Fishing Chair
InteriorNameDiningZone,,식사공간,Dining room
InteriorNameShop,,물고기 판매처,Fish store
InteriorDescFishingChair,,물고기를 낚을 수 있는 장소에요. 다양한 어종이 환경에 따라 등장해요.,It is a place where you can fish. Various fish species appear depending on the environment.
InteriorDescDiningZone,,요리한 음식을 섭취하여 배고픔을 회복할 수 있는 공간이에요.,It is a space where you can satisfy your hunger by eating cooked food.
InteriorDescShop,,획득한 물고기를 판매하여 재화를 얻을 수 있는 장소에요.,This is a place where you can obtain goods by selling the fish you have caught.
QuestFishCarp,Quest,토종 붕어를 {0}마리 낚아보세요.,Try catching {0} native crucian carp.
QuestIslandInteriorBuy,Quest,섬 인테리어 아이템을 {0}종류 구매해요.,Buy {0} kind of island interior items.
QuestJournalFish,Quest,물고기 도감에 물고기를 총 {0}마리 등록해봐요.,Try registering a total of {0} fish in the fish encyclopedia.
QuestStatHungerLevel,Quest,배고픔 수치 {0}레벨을 달성해봐요.,Try to reach a hunger level of {0}.
QuestLakeInteriorBuy,Quest,호수 인테리어 아이템을 {0}개 구매해요.,Buy {0} lake interior items.
QuestFishSalmon,Quest,연어를 {0}마리 낚아보세요.,Try catching {0} salmon.
RecordNameSoft1,임시 음반 1,Starlight Drive,Starlight Drive
RecordNameSoft2,임시 음반 2,Walking on Clouds,Walking on Clouds
RecordNameFrozenWindowGlow,임시 음반 3,Frozen Window Glow,Frozen Window Glow
RecordNameSunnyMorning,[기본 배경음] 봄,기분 좋은 아침,Sunny Morning
RecordNameRelaxingWithAGlassOfSoda,[기본 배경음] 여름,소다수 한 잔의 여유,Relaxing with a Glass of Soda
RecordNameAfternoonByTheWindow,[기본 배경음] 가을,창가에 머무는 오후,Afternoon by the Window
RecordNameRelaxingWhereWinterLingers,[기본 배경음] 겨울,겨울이 머무는 시간,Where Winter Lingers
RecordDescSoft1,임시 음반 1 설명,별빛 아래를 드라이브하는 듯한 상쾌하고 기분 좋은 느낌을 줘요.,"It gives a refreshing and pleasant feeling, like driving under the stars."
RecordDescSoft2,임시 음반 1 설명,마치 몽글몽글한 구름 위를 산책하는 듯한 가볍고 포근한 느낌을 줘요.,"It gives a light and cozy feeling, as if you are taking a walk on fluffy clouds."
RecordDescFrozenWindowGlow,임시 음반 3 설명,소리 없이 내리는 눈을 보며 느끼는 따뜻한 온기에요.,It is the warm feeling you get while watching the snow fall silently.
RecordDescSunnyMorning,[기본 배경음] 봄 설명,"평화롭고 설레는 분위기를 자아내며, 일상 속 작은 행복을 떠올리게 해요.","It evokes a peaceful and heartwarming atmosphere, reminding you of small joys in everyday life."
RecordDescRelaxingWithAGlassOfSoda,[기본 배경음] 여름 설명,톡톡 터지는 소다수처럼 청량하고 기분 좋은 여름날이에요.,"It is a refreshing and pleasant summer day, like popping soda water."
RecordDescAfternoonByTheWindow,[기본 배경음] 가을 설명,"나른한 오후, 편안한 휴식 시간에 어울리는 곡이에요.",It is a song perfect for a relaxing break on a lazy afternoon.
RecordDescRelaxingWhereWinterLingers,[기본 배경음] 겨울 설명,소리 없이 내리는 눈을 보며 느끼는 따뜻한 온기가 느껴져요.,I can feel a warm sensation as I watch the snow falling silently.
ArtistNameCityBoy,경석,City Boy,City Boy
ArtistNameGraphite,하나,흑연,Graphite
RecordNameRain001,임시 환경음,비,Rain
RecordNameAmbienceSpring,[기본 환경음] 봄,숲속 새소리,Forest Birdsong
RecordNameAmbienceSummer,[기본 환경음] 여름,여름날의 빗소리,Summer Rain
RecordNameAmbienceAutumn,[기본 환경음] 가을,바스락 낙엽 길,Rustling Leaves
RecordNameAmbienceWinter,[기본 환경음] 겨울,뽀드득 눈길,Crunching Snow
